name,family,target,control_estimate,candidate_estimate,control_relative_error,candidate_relative_error,absolute_error_change_pp
dwp/uc_payment_dist/COUPLE_WITH_CHILDREN_annual_payment_24_000_to_25_200@2025,dwp_universal_credit,22927.777777777777,22907.781677246094,23015.901306152344,-0.0008721342611347352,0.003843526800926084,0.2971392539791349
dwp/uc_payment_dist/COUPLE_WITH_CHILDREN_annual_payment_25_200_to_26_400@2025,dwp_universal_credit,20334.666666666668,20316.6142578125,20311.510681152344,-0.0008877651721609015,-0.0011387442879642708,0.025097911580336932
dwp/uc_payment_dist/COUPLE_WITH_CHILDREN_annual_payment_26_400_to_27_600@2025,dwp_universal_credit,17535.0,17451.72442626953,17474.560791015625,-0.004749106001167308,-0.003446775533753921,-0.1302330467413387
dwp/uc_payment_dist/COUPLE_WITH_CHILDREN_annual_payment_27_600_to_28_800@2025,dwp_universal_credit,15399.888888888889,15438.156677246094,15288.900451660156,0.0024849392507510556,-0.007207093377719839,0.4722154126968784
dwp/uc_payment_dist/COUPLE_WITH_CHILDREN_annual_payment_28_800_to_30_000@2025,dwp_universal_credit,12836.222222222223,12812.334838867188,12789.249877929688,-0.0018609356352277074,-0.0036593589203539993,0.17984232851262918
dwp/uc_payment_dist/COUPLE_WITH_CHILDREN_annual_payment_2_400_to_3_600@2025,dwp_universal_credit,26502.666666666668,26519.094997406006,26405.262996673584,0.0006198746317101919,-0.0036752403529110487,0.30553657212008567
dwp/uc_payment_dist/COUPLE_WITH_CHILDREN_annual_payment_3_600_to_4_800@2025,dwp_universal_credit,29027.0,29060.13680267334,28948.75368499756,0.0011415855125689821,-0.0026956390602694527,0.15540535477004705
dwp/uc_payment_dist/COUPLE_WITH_CHILDREN_annual_payment_4_800_to_6_000@2025,dwp_universal_credit,32427.0,32352.70072555542,32327.552501678467,-0.0022912780844536983,-0.0030668115558495452,0.0775533471395847
dwp/uc_payment_dist/COUPLE_WITH_CHILDREN_annual_payment_6_000_to_7_200@2025,dwp_universal_credit,34956.88888888889,34938.12148284912,34876.3314743042,-0.0005368728921907769,-0.0023044789495067623,0.17676060573159855
dwp/uc_payment_dist/COUPLE_WITH_CHILDREN_annual_payment_7_200_to_8_400@2025,dwp_universal_credit,37410.77777777778,37410.73895263672,37320.519844055176,-1.0378063052547358e-06,-0.002412618477454349,0.24115806711490942
dwp/uc_payment_dist/COUPLE_WITH_CHILDREN_annual_payment_8_400_to_9_600@2025,dwp_universal_credit,39910.333333333336,39912.52444458008,39775.37535095215,5.490085057526538e-05,-0.0033815298222144804,0.3326628971639215
dwp/uc_payment_dist/COUPLE_WITH_CHILDREN_annual_payment_9_600_to_10_800@2025,dwp_universal_credit,39368.0,39413.518005371094,39331.33395385742,0.0011562183847564965,-0.0009313667481857886,-0.02248516365707079
dwp/uc_payment_dist/LONE_PARENT_annual_payment_0_to_1_200@2025,dwp_universal_credit,26670.222222222223,26702.536514282227,26738.197067260742,0.0012116244023298369,0.002548716860029813,0.1337092457699976
dwp/uc_payment_dist/LONE_PARENT_annual_payment_1_200_to_2_400@2025,dwp_universal_credit,36208.11111111111,36079.87585449219,36153.96160888672,-0.003541616855555072,-0.0014955075137231889,-0.20461093418318832
dwp/uc_payment_dist/LONE_PARENT_annual_payment_20_400_to_21_600@2025,dwp_universal_credit,85490.44444444444,85422.88656616211,85821.2798461914,-0.0007902389409875015,0.0038698524015974684,0.3079613460609967
dwp/uc_payment_dist/LONE_PARENT_annual_payment_22_800_to_24_000@2025,dwp_universal_credit,71259.55555555556,71301.09902954102,71540.64520263672,0.0005829881152298989,0.003944588832890108,0.3361600717660209
